Table	Name	ExternalIdentifierValue
CandidateContest	Florida;General Assembly House of Representatives District 113	State Representative Juris1num 113 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 114	State Representative Juris1num 114 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 115	State Representative Juris1num 115 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 116	State Representative Juris1num 116 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 117	State Representative Juris1num 117 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 118	State Representative Juris1num 118 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 119	State Representative Juris1num 119 Juris2num 
CandidateContest	Florida;General Assembly House of Representatives District 120	State Representative Juris1num 120 Juris2num 
CandidateContest	Florida;General Assembly Senate District 1	State Senator Juris1num 01 Juris2num 
CandidateContest	Florida;General Assembly Senate District 2	State Senator Juris1num 02 Juris2num 
CandidateContest	Florida;General Assembly Senate District 3	State Senator Juris1num 03 Juris2num 
CandidateContest	Florida;General Assembly Senate District 4	State Senator Juris1num 04 Juris2num 
CandidateContest	Florida;General Assembly Senate District 5	State Senator Juris1num 05 Juris2num 
CandidateContest	Florida;General Assembly Senate District 6	State Senator Juris1num 06 Juris2num 
CandidateContest	Florida;General Assembly Senate District 7	State Senator Juris1num 07 Juris2num 
CandidateContest	Florida;General Assembly Senate District 8	State Senator Juris1num 08 Juris2num 
CandidateContest	Florida;General Assembly Senate District 9	State Senator Juris1num 09 Juris2num 
CandidateContest	Florida;General Assembly Senate District 10	State Senator Juris1num 10 Juris2num 
CandidateContest	Florida;General Assembly Senate District 11	State Senator Juris1num 11 Juris2num 
CandidateContest	Florida;General Assembly Senate District 12	State Senator Juris1num 12 Juris2num 
CandidateContest	Florida;General Assembly Senate District 13	State Senator Juris1num 13 Juris2num 
CandidateContest	Florida;General Assembly Senate District 14	State Senator Juris1num 14 Juris2num 
