	Name	ReportingUnitType
536	North Carolina;Cabarrus County;01-07	precinct
537	North Carolina;Cabarrus County;OS-HBL	vote-center
538	North Carolina;Cabarrus County;04-02	precinct
539	North Carolina;Cabarrus County;01-10	precinct
540	North Carolina;Cabarrus County;OS-CFS	vote-center
541	North Carolina;Cabarrus County;OS-LOB	vote-center
542	North Carolina;Cabarrus County;12-11	precinct
543	North Carolina;Cabarrus County;04-03	precinct
544	North Carolina;Cabarrus County;04-04	precinct
545	North Carolina;Cabarrus County;04-06	precinct
546	North Carolina;Cabarrus County;02-08	precinct
547	North Carolina;Cabarrus County;11-01	precinct
548	North Carolina;Cabarrus County;11-02	precinct
549	North Carolina;Cabarrus County;06-00	precinct
550	North Carolina;Cabarrus County;PROVISIONAL	provisional
551	North Carolina;Cabarrus County;02-01	precinct
552	North Carolina;Cabarrus County;12-05	precinct
553	North Carolina;Cabarrus County;01-06	precinct
554	North Carolina;Cabarrus County;01-09	precinct
555	North Carolina;Cabarrus County;TRANSFER	transfer
556	North Carolina;Cabarrus County;04-08	precinct
557	North Carolina;Cabarrus County;04-05	precinct
558	North Carolina;Cabarrus County;10-00	precinct
559	North Carolina;Cabarrus County;12-03	precinct
560	North Carolina;Cabarrus County;12-08	precinct
561	North Carolina;Cabarrus County;12-07	precinct
562	North Carolina;Cabarrus County;09-00	precinct
563	North Carolina;Cabarrus County;04-07	precinct
564	North Carolina;Cabarrus County;OS-CBB	vote-center
565	North Carolina;Cabarrus County;12-01	precinct
566	North Carolina;Cabarrus County;12-02	precinct
567	North Carolina;Cabarrus County;02-07	precinct
568	North Carolina;Cabarrus County;12-06	precinct
569	North Carolina;Cabarrus County;02-03	precinct
570	North Carolina;Cabarrus County;01-02	precinct
571	North Carolina;Cabarrus County;01-08	precinct
572	North Carolina;Cabarrus County;03-00	precinct
573	North Carolina;Cabarrus County;ABSENTEE	absentee
574	North Carolina;Cabarrus County;02-09	precinct
575	North Carolina;Cabarrus County;05-00	precinct
576	North Carolina;Cabarrus County;02-02	precinct
577	North Carolina;Cabarrus County;12-04	precinct
578	North Carolina;Caldwell County;PR14	precinct
579	North Carolina;Caldwell County;PR30	precinct
580	North Carolina;Caldwell County;PR21	precinct
581	North Carolina;Caldwell County;PR31	precinct
582	North Carolina;Caldwell County;PR02	precinct
583	North Carolina;Caldwell County;PR07	precinct
584	North Carolina;Caldwell County;PR16	precinct
585	North Carolina;Caldwell County;ONE STOP GRANITE FALLS	vote-center
586	North Carolina;Caldwell County;PR17	precinct
587	North Carolina;Caldwell County;PR24	precinct
588	North Carolina;Caldwell County;PR13	precinct
589	North Carolina;Caldwell County;PR18	precinct
590	North Carolina;Caldwell County;PR08	precinct
591	North Carolina;Caldwell County;PR33	precinct
592	North Carolina;Caldwell County;PR29	precinct
593	North Carolina;Caldwell County;PR32	precinct
594	North Carolina;Caldwell County;PR01	precinct
595	North Carolina;Caldwell County;ONE STOP LENOIR	vote-center
596	North Carolina;Caldwell County;PROVISIONAL	provisional
597	North Carolina;Caldwell County;ABSENTEE	absentee
598	North Carolina;Caldwell County;PR34	precinct
599	North Carolina;Caldwell County;PR25	precinct
600	North Carolina;Caldwell County;PR22	precinct
601	North Carolina;Caldwell County;PR35	precinct
602	North Carolina;Camden County;ONE STOP	vote-center
603	North Carolina;Camden County;CH	precinct
604	North Carolina;Camden County;PROVISIONAL	provisional
605	North Carolina;Ashe County;06	precinct
606	North Carolina;Ashe County;03	precinct
607	North Carolina;Ashe County;20	precinct
608	North Carolina;Ashe County;16	precinct
609	North Carolina;Ashe County;14	precinct
610	North Carolina;Ashe County;11	precinct
611	North Carolina;Ashe County;ABSENTEE	absentee
612	North Carolina;Ashe County;04	precinct
613	North Carolina;Ashe County;07	precinct
614	North Carolina;Ashe County;17	precinct
615	North Carolina;Ashe County;15	precinct
616	North Carolina;Ashe County;12	precinct
617	North Carolina;Ashe County;10	precinct
618	North Carolina;Ashe County;09	precinct
619	North Carolina;Ashe County;13	precinct
620	North Carolina;Ashe County;ONE STOP	vote-center
621	North Carolina;Ashe County;18	precinct
622	North Carolina;Ashe County;08	precinct
623	North Carolina;Ashe County;02	precinct
624	North Carolina;Ashe County;PROVISIONAL	provisional
625	North Carolina;Beaufort County;WDPD	precinct
626	North Carolina;Beaufort County;WASHP	precinct
627	North Carolina;Beaufort County;PANTE	precinct
628	North Carolina;Beaufort County;AUROR	precinct
629	North Carolina;Beaufort County;WASH1	precinct
630	North Carolina;Beaufort County;WASH2	precinct
631	North Carolina;Beaufort County;PINET	precinct
632	North Carolina;Beaufort County;EDWAR	precinct
633	North Carolina;Beaufort County;PROVISIONAL	provisional
634	North Carolina;Beaufort County;WASH4	precinct
635	North Carolina;Beaufort County;HB	precinct
636	North Carolina;Beaufort County;NCRK	precinct
637	North Carolina;Beaufort County;GILEA	precinct
638	North Carolina;Beaufort County;PSJW3	precinct
639	North Carolina;Beaufort County;BLCK	precinct
640	North Carolina;Beaufort County;OS BOE	board-of-elections
641	North Carolina;Beaufort County;TCRK	precinct
642	North Carolina;Beaufort County;OS CHO	vote-center
643	North Carolina;Beaufort County;ABSENTEE	absentee
644	North Carolina;Beaufort County;OLDF	precinct
645	North Carolina;Beaufort County;CHOCO	precinct
646	North Carolina;Beaufort County;SURBA	precinct
647	North Carolina;Beaufort County;OS BEL	vote-center
648	North Carolina;Beaufort County;OS AUR	vote-center
649	North Carolina;Beaufort County;BEADM	precinct
650	North Carolina;Beaufort County;RVRD	precinct
651	North Carolina;Beaufort County;BELHV	precinct
652	North Carolina;Burke County;0034	precinct
653	North Carolina;Burke County;0047-A	precinct
654	North Carolina;Burke County;0038	precinct
655	North Carolina;Burke County;0048	precinct
656	North Carolina;Burke County;0020	precinct
657	North Carolina;Burke County;0022	precinct
658	North Carolina;Burke County;0013	precinct
659	North Carolina;Burke County;0018	precinct
660	North Carolina;Burke County;0015	precinct
661	North Carolina;Burke County;0019	precinct
